"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5294","2024-08-11 12:41:19","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3500","BT","0.6134289439374185",,,,,,"0.6918103448275862","5.0E-4","0.0","default",,,"2.95198594490352E15","1253.4311158657074","yes","yes","0.6"
"ON-5287","2024-08-11 12:40:42","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1000","BT","0.5801825293350718","0.6095822281167109",,,,,,"5.0E-4","0.0","default",,,"9.0075355548768E14","363.11961793899536","yes","yes","0.6"
"ON-5279","2024-08-11 12:39:50","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1500","BT","0.6121251629726207",,"0.6375994694960212",,,,,"5.0E-4","0.0","default",,,"1.93386014258784E15","787.5364887714386","yes","yes","0.6"
"ON-5273","2024-08-11 12:39:12","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3000","BT","0.6297262059973925",,,,,"0.6830238726790451",,"5.0E-4","0.0","default",,,"2.43855423017232E15","1000.9125053882599","yes","yes","0.6"
"ON-5267","2024-08-11 12:38:33","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2000","BT","0.5840938722294654",,,"0.6500331564986738",,,,"5.0E-4","0.0","default",,,"1.95193624204368E15","744.4149301052094","yes","yes","0.6"
"ON-5264","2024-08-11 12:38:11","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1500","BT","0.5867014341590613",,"0.6326259946949602",,,,,"5.0E-4","0.0","default",,,"1.5742883255208E15","603.1568746566772","yes","yes","0.6"
"ON-5260","2024-08-11 12:37:49","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2500","BT","0.590612777053455",,,,"0.6666114058355438",,,"5.0E-4","0.0","default",,,"2.35500793105488E15","967.185173034668","yes","yes","0.6"
"ON-5257","2024-08-11 12:37:25","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3500","BT","0.6121251629726207",,,,,,"0.692473474801061","5.0E-4","0.0","default",,,"3.07772843861952E15","1317.52681016922","yes","yes","0.6"
"ON-5255","2024-08-11 12:37:05","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3500","BT","0.6134289439374185",,,,,,"0.6873342175066313","5.0E-4","0.0","default",,,"3.34785886180464E15","1370.8145236968994","yes","yes","0.6"
"ON-5231","2024-08-11 12:33:53","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2500","BT","0.6232073011734028",,,,"0.6657824933687002",,,"5.0E-4","0.0","default",,,"2.00878004072976E15","813.8097701072693","yes","yes","0.6"
