"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5131","2024-08-10 22:57:24","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1500","b1","0.5932203389830508",,"0.6190318302387268",,,,,"5.0E-4","0.25","random",,,"2.26850937E15","1110.3865010738373","yes","no","0.4"
"ON-5130","2024-08-10 22:56:56","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2500","BT","0.6160365058670143",,,,"0.6744031830238727",,,"5.0E-4","0.5","random",,,"6.60452763E15","2587.8811469078064","yes","no","0.4"
"ON-5129","2024-08-10 22:56:49","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3500","b1","0.6271186440677966",,,,,,"0.6717506631299734","5.0E-4","0.25","random",,,"5.92264818E15","2753.328186273575","yes","no","0.4"
"ON-5128","2024-08-10 22:56:22","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2500","b1","0.6108213820078227",,,,"0.6445623342175066",,,"5.0E-4","0.75","random",,,"3.9474357E15","1380.5854501724243","yes","no","0.4"
"ON-5127","2024-08-10 22:56:15","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3000","b1","0.6192959582790091",,,,,"0.6528514588859416",,"5.0E-4","0.25","random",,,"4.99623798E15","1735.1701912879944","yes","no","0.4"
"ON-5126","2024-08-10 22:55:46","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3500","BT","0.6082138200782269",,,,,,"0.690815649867374","5.0E-4","0.25","random",,,"7.39324617E15","2764.8461780548096","yes","no","0.4"
"ON-5125","2024-08-10 22:55:40","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2500","b1","0.6192959582790091",,,,"0.6540119363395226",,,"5.0E-4","0.25","random",,,"4.50270933E15","1722.8893311023712","yes","no","0.4"
"ON-5124","2024-08-10 22:55:32","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3000","b1","0.6251629726205997",,,,,"0.6692639257294429",,"5.0E-4","0.75","random",,,"7.63858167E15","2723.4211452007294","yes","no","0.4"
"ON-5123","2024-08-10 22:55:26","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2000","b1","0.605606258148631",,,"0.6458885941644562",,,,"5.0E-4","0.75","random",,,"4.10886876E15","1443.7359127998352","yes","no","0.4"
"ON-5121","2024-08-10 22:55:12","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3000","BT","0.6238591916558018",,,,,"0.6886604774535809",,"5.0E-4","0.5","random",,,"8.14583826E15","2988.131429672241","yes","no","0.4"
"ON-5119","2024-08-10 22:54:16","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1500","b1","0.6029986962190352",,"0.6230106100795756",,,,,"5.0E-4","0.5","random",,,"2.31330789E15","854.1654422283173","yes","no","0.4"
"ON-5118","2024-08-10 22:54:09","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","2000","b1","0.6069100391134289",,,"0.6308023872679045",,,,"5.0E-4","0.5","random",,,"4.19426427E15","1469.4184401035309","yes","no","0.4"
"ON-5117","2024-08-10 22:53:42","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","BT","0.5951760104302477",,"0.6490384615384616",,,,,"5.0E-4","0.5","random",,,"3.09012003E15","1117.7164962291718","yes","no","0.4"
"ON-5116","2024-08-10 22:53:36","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","b1","0.5925684485006519",,"0.6248342175066313",,,,,"5.0E-4","0.75","random",,,"2.29509168E15","800.7788987159729","yes","no","0.4"
"ON-5115","2024-08-10 22:53:30","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1000","BT","0.5795306388526728","0.611737400530504",,,,,,"5.0E-4","0.5","random",,,"1.15981416E15","467.7513122558594","yes","no","0.4"
"ON-5112","2024-08-10 22:53:10","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","2000","BT","0.6160365058670143",,,"0.6584880636604774",,,,"5.0E-4","0.25","random",,,"3.04223808E15","1116.4670326709747","yes","no","0.4"
"ON-5111","2024-08-10 22:53:04","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1000","BT","0.5638852672750978","0.605106100795756",,,,,,"5.0E-4","0.25","random",,,"9.809403E14","366.7013535499573","yes","no","0.4"
"ON-5110","2024-08-10 22:52:57","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","1500","BT","0.60625814863103",,"0.6359416445623343",,,,,"5.0E-4","0.75","random",,,"2.46131355E15","965.7875425815582","yes","no","0.4"
"ON-5109","2024-08-10 22:52:33","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","1000","b1","0.5990873533246415","0.6046087533156499",,,,,,"5.0E-4","0.25","random",,,"1.32568101E15","481.93865036964417","yes","no","0.4"
"ON-5108","2024-08-10 22:52:24","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3500","BT","0.6323337679269883",,,,,,"0.6923076923076923","5.0E-4","0.75","random",,,"1.291147587E16","4638.538931846619","yes","no","0.4"
"ON-5107","2024-08-10 22:52:15","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2000","BT","0.6114732724902217",,,"0.6652851458885941",,,,"5.0E-4","0.5","random",,,"5.77526286E15","2124.4464399814606","yes","no","0.4"
"ON-5106","2024-08-10 22:51:48","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3000","b1","0.6121251629726207",,,,,"0.6603116710875332",,"5.0E-4","0.5","random",,,"1.039310274E16","3714.4271886348724","yes","no","0.4"
"ON-5105","2024-08-10 22:51:16","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3500","BT","0.605606258148631",,,,,,"0.6918103448275862","5.0E-4","0.75","random",,,"9.58453362E15","3384.4112384319305","yes","no","0.4"
"ON-5104","2024-08-10 22:51:05","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3000","BT","0.6186440677966102",,,,,"0.6838527851458885",,"5.0E-4","0.75","random",,,"7.70895678E15","2883.672262907028","yes","no","0.4"
"ON-5103","2024-08-10 22:50:39","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3500","BT","0.6134289439374185",,,,,,"0.6889920424403183","5.0E-4","0.5","random",,,"9.321393E15","3415.5972402095795","yes","no","0.4"
"ON-5102","2024-08-10 22:50:12","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3500","b1","0.6179921773142112",,,,,,"0.6619694960212201","5.0E-4","0.25","random",,,"6.8593755E15","2374.1688072681427","yes","no","0.4"
"ON-5101","2024-08-10 22:50:06","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1500","BT","0.6023468057366362",,"0.6375994694960212",,,,,"5.0E-4","0.5","random",,,"4.36363119E15","1558.7092578411102","yes","no","0.4"
"ON-5100","2024-08-10 22:49:59","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","2000","b1","0.6121251629726207",,,"0.6342838196286472",,,,"5.0E-4","0.75","random",,,"5.33436237E15","1919.0028338432312","yes","no","0.4"
"ON-5097","2024-08-10 22:49:40","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2000","BT","0.60625814863103",,,"0.6566644562334217",,,,"5.0E-4","0.75","random",,,"5.26038606E15","2100.502880334854","yes","no","0.4"
"ON-5096","2024-08-10 22:49:32","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2500","BT","0.6160365058670143",,,,"0.6740716180371353",,,"5.0E-4","0.75","random",,,"8.96402199E15","3223.4021966457367","yes","no","0.4"
"ON-5095","2024-08-10 22:49:05","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1000","b1","0.5801825293350718","0.6032824933687002",,,,,,"5.0E-4","0.5","random",,,"1.08313548E15","382.3659768104553","yes","no","0.4"
"ON-5094","2024-08-10 22:48:59","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1000","BT","0.5821382007822686","0.6107427055702918",,,,,,"5.0E-4","0.75","random",,,"1.39020915E15","536.8880326747894","yes","no","0.4"
"ON-5093","2024-08-10 22:48:53","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2500","b1","0.6251629726205997",,,,"0.6555039787798409",,,"5.0E-4","0.5","random",,,"4.25591676E15","1894.002234697342","yes","no","0.4"
"ON-5092","2024-08-10 22:48:46","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","1000","BT","0.5932203389830508","0.6193633952254642",,,,,,"5.0E-4","0.75","random",,,"1.37647836E15","508.1465873718262","yes","no","0.4"
"ON-5091","2024-08-10 22:48:20","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3500","BT","0.6186440677966102",,,,,,"0.692473474801061","5.0E-4","0.25","random",,,"6.30059601E15","2378.0642285346985","yes","no","0.4"
"ON-5090","2024-08-10 22:48:13","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1000","BT","0.5932203389830508","0.6182029177718833",,,,,,"5.0E-4","0.5","random",,,"1.1774568E15","442.8763108253479","yes","no","0.4"
"ON-5089","2024-08-10 22:48:07","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3000","BT","0.6238591916558018",,,,,"0.6843501326259946",,"5.0E-4","0.25","random",,,"6.89828616E15","2865.334641456604","yes","no","0.4"
