Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5151,10/08/2024 23:01,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2000,BT,0.610169492,,,0.658322281,,,,5.00E-04,0.5,random,,,5.17E+15,1865.055475,yes,no
ON-5150,10/08/2024 23:01,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1500,BT,0.599739244,,0.633952255,,,,,5.00E-04,0.5,random,,,2.01E+15,750.7933886,yes,no
ON-5140,10/08/2024 22:59,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3500,b1,0.626466754,,,,,,0.666445623,5.00E-04,0.5,random,,,6.83E+15,2507.5132,yes,no
ON-5139,10/08/2024 22:59,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2500,b1,0.608865711,,,,0.648706897,,,5.00E-04,0.5,random,,,3.49E+15,1490.039081,yes,no
ON-5137,10/08/2024 22:58,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2000,BT,0.604302477,,,0.651525199,,,,5.00E-04,0.5,random,,,2.95E+15,1069.607887,yes,no
ON-5136,10/08/2024 22:58,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1000,b1,0.560625815,0.592506631,,,,,,5.00E-04,0.5,random,,,1.06E+15,380.0043314,yes,no
ON-5130,10/08/2024 22:56,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2500,BT,0.616036506,,,,0.674403183,,,5.00E-04,0.5,random,,,6.60E+15,2587.881147,yes,no
ON-5121,10/08/2024 22:55,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3000,BT,0.623859192,,,,,0.688660477,,5.00E-04,0.5,random,,,8.15E+15,2988.13143,yes,no
ON-5119,10/08/2024 22:54,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1500,b1,0.602998696,,0.62301061,,,,,5.00E-04,0.5,random,,,2.31E+15,854.1654422,yes,no
ON-5118,10/08/2024 22:54,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2000,b1,0.606910039,,,0.630802387,,,,5.00E-04,0.5,random,,,4.19E+15,1469.41844,yes,no
ON-5117,10/08/2024 22:53,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1500,BT,0.59517601,,0.649038462,,,,,5.00E-04,0.5,random,,,3.09E+15,1117.716496,yes,no
ON-5115,10/08/2024 22:53,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1000,BT,0.579530639,0.611737401,,,,,,5.00E-04,0.5,random,,,1.16E+15,467.7513123,yes,no
ON-5107,10/08/2024 22:52,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2000,BT,0.611473272,,,0.665285146,,,,5.00E-04,0.5,random,,,5.78E+15,2124.44644,yes,no
ON-5106,10/08/2024 22:51,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3000,b1,0.612125163,,,,,0.660311671,,5.00E-04,0.5,random,,,1.04E+16,3714.427189,yes,no
ON-5103,10/08/2024 22:50,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3500,BT,0.613428944,,,,,,0.688992042,5.00E-04,0.5,random,,,9.32E+15,3415.59724,yes,no
ON-5101,10/08/2024 22:50,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1500,BT,0.602346806,,0.637599469,,,,,5.00E-04,0.5,random,,,4.36E+15,1558.709258,yes,no
ON-5095,10/08/2024 22:49,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1000,b1,0.580182529,0.603282493,,,,,,5.00E-04,0.5,random,,,1.08E+15,382.3659768,yes,no
ON-5093,10/08/2024 22:48,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2500,b1,0.625162973,,,,0.655503979,,,5.00E-04,0.5,random,,,4.26E+15,1894.002235,yes,no
ON-5090,10/08/2024 22:48,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1000,BT,0.593220339,0.618202918,,,,,,5.00E-04,0.5,random,,,1.18E+15,442.8763108,yes,no
ON-5087,10/08/2024 22:47,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1500,b1,0.572359844,,0.611571618,,,,,5.00E-04,0.5,random,,,1.57E+15,543.8702958,yes,no
ON-5086,10/08/2024 22:47,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3500,b1,0.634289439,,,,,,0.676724138,5.00E-04,0.5,random,,,6.92E+15,2433.265263,yes,no
ON-5084,10/08/2024 22:46,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1000,BT,0.588657106,0.614555703,,,,,,5.00E-04,0.5,random,,,1.24E+15,464.0064678,yes,no
ON-5082,10/08/2024 22:46,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2000,b1,0.604302477,,,0.642572944,,,,5.00E-04,0.5,random,,,3.84E+15,1366.460773,yes,no
ON-4514,04/08/2024 12:50,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",0,1000,3000,CS,0.618644068,,,,,0.657824934,,5.00E-04,1,default,,,8.25E+15,2896.469614,yes,no
ON-4511,04/08/2024 12:50,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",1,1000,1500,MV,0.588657106,,0.630636605,,,,,5.00E-04,1,default,,,4.36E+15,1639.525524,yes,no
ON-4508,04/08/2024 12:50,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",1,1000,3500,MV,0.601043025,,,,,,0.670258621,5.00E-04,0,default,,,3.14E+15,1299.660023,yes,no
ON-4504,04/08/2024 12:50,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",0,1000,2000,CS,0.590612777,,,0.628149867,,,,5.00E-04,0,default,,,2.17E+15,862.4484189,yes,yes
ON-4503,04/08/2024 12:50,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",2,1000,3000,CS,0.569100391,,,,,0.636604775,,5.00E-04,0,default,,,2.97E+15,1203.279883,yes,yes
ON-4499,04/08/2024 12:49,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",0,1000,2500,CS,0.611473272,,,,0.649038462,,,5.00E-04,0,default,,,3.62E+15,1427.134933,yes,yes
ON-4495,04/08/2024 12:49,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",0,1000,2500,CS,0.595827901,,,,0.643567639,,,5.00E-04,0,default,,,3.51E+15,1215.2968,yes,no
ON-4491,04/08/2024 12:48,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",1,1000,1000,MV,0.597131682,0.612732095,,,,,,5.00E-04,0,default,,,1.01E+15,410.4587791,yes,yes
ON-4490,04/08/2024 12:48,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",2,1000,2000,MV,0.602998696,,,0.650530504,,,,5.00E-04,0,default,,,1.74E+15,765.8241477,yes,yes
ON-4485,04/08/2024 12:48,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",1,1000,2000,CS,0.597783572,,,0.635112732,,,,5.00E-04,0,default,,,2.05E+15,848.9005728,yes,yes
ON-4482,04/08/2024 12:48,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",2,1000,1000,MV,0.577574967,0.61306366,,,,,,5.00E-04,0,default,,,1.07E+15,467.2845197,yes,yes
ON-4480,04/08/2024 12:47,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",2,1000,3000,MV,0.629074316,,,,,0.668932361,,5.00E-04,1,default,,,1.49E+16,6002.100165,yes,no
