Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-3240,25/07/2024 11:59,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",2,1000,1000,b1,0.602,0.647969486,,,,,,5.00E-04,1,default,,,1.02E+15,309.0340631,no,no
ON-3233,25/07/2024 11:59,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",0,1000,2000,b1,0.642,,,0.725375813,,,,5.00E-04,1,default,,,4.57E+15,1412.204447,no,no
ON-3232,25/07/2024 11:59,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",1,1000,2000,b1,0.616,,,0.719766659,,,,5.00E-04,1,default,,,3.37E+15,1029.364595,no,no
ON-3229,25/07/2024 11:58,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",0,1000,1000,b1,0.622,0.672649764,,,,,,5.00E-04,1,default,,,2.04E+15,614.7820911,no,no
ON-3216,25/07/2024 11:57,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",2,1000,3000,b1,0.65,,,,,0.744671304,,5.00E-04,1,default,,,6.10E+15,1795.377379,no,no
ON-3214,25/07/2024 11:57,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",1,1000,3000,b1,0.66,,,,,0.749158627,,5.00E-04,1,default,,,8.83E+15,2707.603382,no,no
ON-3209,25/07/2024 11:57,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",1,1000,1000,b1,0.584,0.672425398,,,,,,5.00E-04,1,default,,,1.32E+15,397.0917122,no,no
ON-3195,25/07/2024 11:55,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",2,1000,2000,b1,0.66,,,0.717522998,,,,5.00E-04,1,default,,,3.42E+15,995.5329614,no,no
ON-3190,25/07/2024 11:55,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",0,1000,3000,b1,0.652,,,,,0.75364595,,5.00E-04,1,default,,,9.28E+15,2791.936219,no,no
ON-3172,24/07/2024 11:26,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",2,1000,3000,b1,0.652,,,,,0.745120036,,5.00E-04,0,default,,,4.36E+15,1363.635778,yes,no
ON-3158,24/07/2024 11:25,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,1000,b1,0.626,0.654700471,,,,,,5.00E-04,1,default,,,8.83E+14,269.5701895,yes,no
ON-3149,24/07/2024 11:24,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,1000,b1,0.626,0.654700471,,,,,,5.00E-04,0,default,,,8.83E+14,273.5682614,yes,no
ON-3148,24/07/2024 11:23,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,3000,b1,0.654,,,,,0.756113978,,5.00E-04,1,default,,,5.40E+15,1544.856912,yes,no
